YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1962,3.2,1.7,3.2,9.1,12.2,16.5,18.5,20.7,15.3,10.4,3.5,-0.7,2.8,8.2,18.6,9.7,9.81
1963,-3.7,-2.2,4.5,10.3,13.1,16.4,20,16.8,15,9.3,7.9,-0.5,-2.2,9.3,17.7,10.7,8.89
1964,-1.1,3.6,4.9,10.2,15,18.1,21.3,18.4,15.5,9.3,6.3,1,0.7,10,19.3,10.4,10.08
1965,1,-0.7,4.4,8.1,13.3,17.5,17.7,17.1,12.8,10.1,5.5,3.9,0.4,8.6,17.4,9.5,8.98
1966,0.1,5.9,4.7,10.7,14.4,18.7,17.8,17.8,16.1,12.5,3.5,2.9,3.3,9.9,18.1,10.7,10.51
1967,1.1,3.3,6.9,8.5,12.9,16.5,20.8,18.4,14.6,12.1,5.6,0.3,2.4,9.4,18.6,10.8,10.3
1968,-0.1,3.1,5.8,10.2,12.7,16.9,18.8,16.5,13.9,12,5.1,2.1,1.1,9.6,17.4,10.3,9.6
1969,1.7,0.1,5.5,9.2,14.2,14.9,19.9,18.2,15.5,10.3,5.9,-1.2,1.3,9.6,17.7,10.6,9.79
1970,0.9,3.3,3.1,7.1,12.7,18.3,19.3,19,15.7,9.2,6.6,1.6,1,7.6,18.9,10.5,9.5
1971,-0.8,2.1,1.8,11.3,14.4,15.7,20.7,20.2,14.4,10.7,4.1,1.7,1,9.2,18.9,9.7,9.68
1972,1.7,3.9,6.6,8.8,13,15.7,18.7,18,12.1,8.6,6.5,1.7,2.4,9.5,17.5,9.1,9.61
1973,0.8,1.5,4.5,6.9,14.3,17.5,18.7,19.8,15.6,9,4.6,1.3,1.3,8.6,18.7,9.7,9.58
1974,3.9,4.9,7.7,9.3,12.7,15.7,18.7,19.3,14.5,6,5.7,4.2,3.4,9.9,17.9,8.7,9.97
1975,4,2.8,4.9,9.3,13.2,15.7,19.4,18.8,16.2,8.6,6.4,1.8,3.7,9.1,18,10.4,10.29
1976,1.6,2.2,4.9,9,15,19.9,20.8,17.4,13.3,11,5.9,1.4,1.9,9.6,19.4,10.1,10.23
1977,2.1,5.9,7.9,8.5,12.6,16,18.7,17.2,13.9,11.4,5.9,3.1,3.1,9.7,17.3,10.4,10.12
1978,1.7,2.4,6,8.1,12.5,16.1,18.1,16.9,14.5,9,4.2,3.7,2.4,8.9,17,9.2,9.38
1979,-0.6,4.5,6.6,7.8,13.2,17.4,19.6,17.3,15.3,11.2,5,4.1,2.5,9.2,18.1,10.5,10.08
1980,1.1,4.7,5.6,7.7,11.8,15.1,16.7,19,15.5,9.2,4.3,0.3,3.3,8.4,16.9,9.7,9.57
1981,-0.2,0.1,8.4,11,13,17,17.8,19,15.7,10.5,4.9,999.9,0.1,10.8,17.9,10.4,9.79
